timestamp,product_id,tn
2017-01-01,20001,934.7722200000000
2017-01-01,20002,550.15707
2017-01-01,20003,1063.45835
2017-01-01,20004,555.91614
2017-01-01,20005,494.27011
2017-01-01,20006,528.40996
2017-01-01,20007,464.67137
2017-01-01,20008,523.04609
2017-01-01,20009,378.08172
2017-01-01,20010,441.25546
2017-01-01,20011,489.25422000000000
2017-01-01,20012,476.39728
2017-01-01,20013,433.34928
2017-01-01,20014,248.65917
2017-01-01,20015,304.24755
2017-01-01,20016,293.66064
2017-01-01,20017,327.60433
2017-01-01,20018,343.26728
2017-01-01,20019,409.5724
2017-01-01,20020,293.38983
2017-01-01,20021,331.17312
2017-01-01,20022,316.55771
2017-01-01,20023,207.13875
2017-01-01,20024,313.33302000000000
2017-01-01,20025,166.81392
2017-01-01,20026,184.4002
2017-01-01,20027,223.33358
2017-01-01,20028,280.32732
2017-01-01,20029,236.03158
2017-01-01,20030,354.354
2017-01-01,20031,138.09868
2017-01-01,20033,196.83573
2017-01-01,20035,196.32423
2017-01-01,20037,107.01826
2017-01-01,20038,230.12367
2017-01-01,20039,232.57636
2017-01-01,20041,191.12626
2017-01-01,20042,158.67551
2017-01-01,20043,178.5289
2017-01-01,20044,194.83483000000000
2017-01-01,20045,114.16856
2017-01-01,20046,258.48155000000000
2017-01-01,20047,180.06395
2017-01-01,20050,155.55315
2017-01-01,20051,124.07345000000000
2017-01-01,20052,150.34129000000000
2017-01-01,20053,170.59296
2017-01-01,20054,157.74961
2017-01-01,20055,158.28111
2017-01-01,20056,75.05934000000000
2017-01-01,20057,125.86815
2017-01-01,20058,159.93297
2017-01-01,20059,142.46939
2017-01-01,20061,151.69193
2017-01-01,20062,157.42856
2017-01-01,20063,113.57203
2017-01-01,20065,145.15956
2017-01-01,20066,146.8347
2017-01-01,20067,178.56384
2017-01-01,20068,141.59337
2017-01-01,20069,133.63467
2017-01-01,20070,115.12294
2017-01-01,20071,103.05864
2017-01-01,20072,117.23166
2017-01-01,20073,95.83056000000000
2017-01-01,20074,96.22687000000000
2017-01-01,20075,136.63868
2017-01-01,20076,89.02047
2017-01-01,20077,101.87181
2017-01-01,20079,78.86154
2017-01-01,20080,118.20488
2017-01-01,20081,72.78453
2017-01-01,20082,98.92867
2017-01-01,20084,1.37455
2017-01-01,20086,73.56162
2017-01-01,20087,102.92085
2017-01-01,20090,59.54684
2017-01-01,20091,105.8979
2017-01-01,20092,138.07521
2017-01-01,20093,98.02611
2017-01-01,20094,112.35975
2017-01-01,20095,51.856410000000000
2017-01-01,20096,73.73045
2017-01-01,20097,175.96584000000000
2017-01-01,20099,85.26119
2017-01-01,20100,77.91646
2017-01-01,20101,88.67313
2017-01-01,20102,116.86614
2017-01-01,20103,86.76077
2017-01-01,20106,68.50116
2017-01-01,20107,95.94079000000000
2017-01-01,20108,143.8538
2017-01-01,20109,110.66526
2017-01-01,20111,68.00977
2017-01-01,20114,73.74276
2017-01-01,20116,63.35257
2017-01-01,20117,90.44291
2017-01-01,20118,109.60468
2017-01-01,20119,56.51433
2017-01-01,20120,114.64145
2017-01-01,20121,60.45273
2017-01-01,20122,65.58111
2017-01-01,20123,63.83286
2017-01-01,20124,77.06339
2017-01-01,20125,42.9156
2017-01-01,20129,89.35406
2017-01-01,20132,67.9475
2017-01-01,20133,35.6265
2017-01-01,20134,71.35947
2017-01-01,20137,60.76891
2017-01-01,20138,100.32231
2017-01-01,20139,39.85254
2017-01-01,20140,20.27025
2017-01-01,20142,35.61193
2017-01-01,20144,57.25477
2017-01-01,20145,61.7512
2017-01-01,20146,79.76514
2017-01-01,20148,45.36038
2017-01-01,20151,81.90072
2017-01-01,20152,35.57875
2017-01-01,20153,50.18154
2017-01-01,20155,52.42685
2017-01-01,20157,47.86701
2017-01-01,20158,37.69038
2017-01-01,20160,67.16352
2017-01-01,20161,48.254630000000000
2017-01-01,20162,19.34944
2017-01-01,20166,42.66181
2017-01-01,20167,47.57818
2017-01-01,20168,55.35815
2017-01-01,20175,52.8154
2017-01-01,20176,39.65784
2017-01-01,20177,59.61846
2017-01-01,20179,38.79694
2017-01-01,20180,32.26771
2017-01-01,20181,54.66552
2017-01-01,20182,46.50109
2017-01-01,20183,71.79628
2017-01-01,20184,37.78966
2017-01-01,20187,53.90377
2017-01-01,20188,54.51789
2017-01-01,20189,37.00757
