product_id,tn,tn_feb_2019,promedio_ultimos_12m
20001,1259.8151438538457,1259.09363,1505.8829991666664
20002,920.3927719760948,1043.01349,1087.364225
20003,714.9359852965449,758.3265700000001,874.9687341666666
20004,473.5516645404654,441.70332,653.7599974999999
20005,376.96785145074546,409.8995,577.710465
20006,488.6357335909991,479.99914,591.6263
20007,460.25833312558456,368.79546,631.0098625
20008,459.714533738687,476.98787,550.4736366666667
20009,425.7461977139326,366.72969,453.4917041666667
20010,307.76584281384106,337.76009,396.69088166666666
20011,313.8259281104719,431.62938,368.53635
20012,385.1158154984595,330.26012000000003,499.0401816666667
20013,347.06021709173496,377.10855,409.730685
20014,363.89028850071867,332.43756,458.8560508333333
20015,385.4888617824501,424.16407,416.47427999999996
20016,341.0245622446839,292.64508,444.16827000000006
20017,297.3249539120096,308.7106,370.9118275
20018,306.56047358983,265.84135,365.3423258333333
20019,369.1299989727181,323.66178,399.4317741666667
20020,212.98757005073657,210.74725,291.0514925
20021,223.54564403480208,219.88515,293.21080666666666
20022,182.9074655989526,238.353,175.48001666666667
20023,227.82818909765967,175.61817,281.769215
20024,205.05807935687855,212.08824,283.20474
20025,190.68000745101713,224.88102,264.13023
20026,219.45634433585153,263.67957,300.49373916666667
20027,204.24994901200415,241.8596,228.64465416666667
20028,196.62391189790108,277.49358,226.11498000000003
20029,195.71322169774015,198.8713,240.58687083333334
20030,192.08385591103996,114.7146,254.56946666666667
20031,169.79748532469844,159.71151,239.0082175
20033,164.83164247324768,132.55515,219.317735
20035,141.74139210875603,147.80444,195.49063916666668
20037,108.32088569856026,212.89111,189.35526416666667
20038,133.61327364746953,215.67432,174.23077333333333
20039,145.2846137033382,156.62559,174.52399833333334
20041,132.54447703294352,142.4668,176.52551833333334
20042,132.187716148269,107.68438,154.60573666666667
20043,142.994490986139,118.73971,186.61114666666666
20044,120.36587870960504,173.56001,156.6796375
20045,159.5852823929048,148.1163,198.1403541666667
20046,133.91739235461597,157.39975,150.50914416666666
20047,138.88533866237586,161.48385,161.65534416666665
20050,121.982200380782,138.53546,166.35090083333333
20051,114.71438466998892,133.21935,188.1705025
20052,145.5603630173374,84.48314,178.88283166666668
20053,129.65527276589836,144.51834,147.55125416666667
20054,105.53044407804248,127.84587,133.57988666666668
20055,117.67109191249791,130.68292,158.92695583333332
20056,130.6216124145078,134.23956,180.60677833333332
20057,121.96428822799469,113.75512,144.42016416666667
20058,110.77654021894428,107.77382,134.79458166666666
20059,105.0080959964806,155.46707,123.78963416666666
20061,102.65854249873632,123.7593,123.06753666666667
20062,94.39343770792786,120.62381,118.99496916666668
20063,103.37407356584576,100.61749,124.51484666666666
20065,97.358557768271,137.95236,122.553795
20066,96.80021948209952,90.85437,116.83380749999999
20067,104.15205404792032,96.35806,120.19279666666667
20068,103.35272678858796,120.62121,121.28301916666668
20069,106.96861113964673,126.80309,117.63687916666667
20070,100.70583907651228,125.57226,124.04411416666666
20071,89.99343361653072,137.71438,118.54540416666667
20072,109.83380876460544,145.17594,125.26877999999999
20073,74.25785792713434,110.29313,94.44051833333333
20074,89.42047374349245,59.26363,134.99247499999998
20075,100.00229454040527,171.57883,113.83281083333333
20076,81.01456853033791,131.93002,97.1668825
20077,96.42381638540348,135.97759,135.02525166666666
20079,81.45520486965985,67.55935,120.74429833333333
20080,74.06059708393795,132.30495,91.57597833333334
20081,76.47691686388472,98.55027,95.04699749999999
20082,77.02233098258435,77.25028,94.58942833333333
20084,86.78792694252981,86.41558,99.21772
20086,57.72238511098942,58.26781,84.8604125
20087,62.82041393871039,80.65929,114.23975083333333
20090,55.33186602256667,100.15483,86.51645083333334
20091,75.36638449279354,109.90764,93.5320575
20092,52.2362706493324,65.67560999999999,66.768975
20093,74.17959363695601,84.14406,87.770865
20094,74.25443176484444,133.57225,89.91393999999998
20095,78.15460107024286,53.28969,99.2469525
20096,63.8955406672518,72.64453999999999,91.26644750000001
20097,68.6424948732618,74.25086,89.80223000000001
20099,77.10093578822176,92.22006,91.3526875
20100,70.91728018371151,82.18832,94.83712416666667
20101,67.40492408376345,76.87953,82.48422
20102,87.60265143488495,44.31548,163.61174666666668
20103,73.09285769664066,90.35021,89.61334333333333
20106,62.33779308157907,73.19403,76.4133825
20107,75.06937552170015,94.17974,89.99078333333334
20108,64.8156832171158,60.32214,74.97631333333334
20109,70.55546434160689,80.42684,83.96784416666667
20111,65.45632013132874,73.04949,69.62652916666667
20114,61.37193400423291,55.61829,67.93332
20116,61.48722739958427,77.20114,74.38582083333334
20117,56.66051880742462,58.2985,73.79874916666667
20118,61.234062799265686,83.8219,69.64524083333333
20119,61.53665641999581,72.77644,84.61041416666667
20120,63.63896625142702,34.16321,71.10229833333334
20121,62.57274591419059,76.94741,79.2659625
20122,55.0558013647375,65.876,65.9940675
20123,54.29366279655779,63.45612,66.73212
20124,63.89514737733653,56.08653,72.93386916666667
20125,48.0551739679256,66.39632999999999,63.51072
20129,60.891988834864655,54.03926,71.30110916666666
20132,59.45336701836384,39.59476,64.39990916666666
20133,47.275715881670024,54.70101,60.7882275
20134,47.95892966633112,46.52739,60.066824999999994
20137,51.28122784386218,59.59767,60.570388333333334
20138,48.38311919360093,53.80157,64.85758166666666
20139,41.62002560790156,51.29397,52.8302775
20140,41.02444017437142,60.37668,56.0789775
20142,47.05060673431611,68.36055,59.215515833333335
20144,51.60730891160562,77.01571,61.34511583333333
20145,36.11263655273008,35.63662,48.72609583333334
20146,51.022257657118246,34.12773,65.8241675
20148,31.271277367229192,59.00435,39.294761666666666
20151,56.39035692349286,39.09263,66.87342583333333
20152,33.97597514407735,70.75087,43.367565000000006
20153,28.90503348095316,37.35696,40.56318
20155,30.465198019860495,46.75449,41.07879916666666
20157,28.836286410479477,41.03748,40.7084025
20158,43.89701074949453,48.22272,50.470192499999996
20160,53.19166454127137,59.51869,53.0482175
20161,49.04071201405055,69.34027,60.430573333333335
20162,15.211643306302353,27.02355,21.158661666666667
20166,38.86216169008067,58.60775,47.093286666666664
20167,26.459093846065898,39.99231,37.020451666666666
20168,41.35729271257427,24.20983,54.252995
20175,46.935349021159425,47.3684,54.058899999999994
20176,31.490437010644182,35.57002,38.246165
20177,30.832588538317612,34.17114,37.60626583333333
20179,25.230491792651968,38.04,34.48560166666667
20180,32.183085904994485,30.57289,40.29267333333333
20181,31.020590547104955,31.23142,37.55448166666667
20182,30.927703252980407,43.50666,36.98926083333333
20183,25.70059389463613,27.13121,34.9800725
20184,29.174036590146347,17.5324,36.6239925
20187,32.92747465321715,33.64676,36.56831666666667
20188,26.45316017177743,34.46414,35.998555833333334
20189,24.7529524547953,17.94013,30.71999
20193,27.744051691511988,31.87034,36.099625833333334
20196,24.607783324281932,36.7276,34.439708333333336
20197,30.87693635510727,51.01845,37.89060416666667
20198,30.250357453252228,41.26625,36.93648
20200,30.956844605190653,40.51796,34.645222499999996
20201,30.023398244884653,34.10045,38.57369333333333
20205,27.79627501796669,36.04016,34.918168333333334
20206,28.196256469672832,47.21808,35.25613
20207,29.192121975858445,23.21729,40.052625
20208,26.452681165345957,45.41673,31.6745225
20209,23.211418776444987,41.9452,29.010415
20211,33.731611043634544,28.33532,39.507169166666664
20212,19.594272220638437,20.01694,25.02537666666667
20215,22.920730752004705,31.32653,30.0265125
20216,24.289772597836777,30.29756,41.533575
20219,24.26085372709892,26.9406,29.948714166666665
20220,24.56459324460634,21.87454,27.446164999999997
20222,22.541225225153102,16.54349,29.4876225
20224,26.072716508113164,26.03601,29.395275
